"Index Name","Date","Open","High","Low","Close"
"NIFTY 500","31 Dec 2021","14879.25","15022.35","14877.85","14996.20"
"NIFTY 500","30 Dec 2021","14856.10","14894.65","14815.00","14842.05"
"NIFTY 500","29 Dec 2021","14866.20","14922.35","14835.35","14863.40"
"NIFTY 500","28 Dec 2021","14809.50","14880.85","14805.30","14867.85"
"NIFTY 500","27 Dec 2021","14617.15","14745.55","14515.25","14727.60"
"NIFTY 500","24 Dec 2021","14813.90","14819.20","14605.05","14664.80"
"NIFTY 500","23 Dec 2021","14738.30","14779.30","14708.70","14751.45"
"NIFTY 500","22 Dec 2021","14542.70","14652.35","14522.55","14639.75"
"NIFTY 500","21 Dec 2021","14423.70","14584.95","14386.45","14461.40"
"NIFTY 500","20 Dec 2021","14523.50","14533.80","14128.15","14300.70"
"NIFTY 500","17 Dec 2021","14952.75","14966.10","14658.50","14673.15"
"NIFTY 500","16 Dec 2021","15072.95","15078.85","14891.60","14936.45"
"NIFTY 500","15 Dec 2021","15050.10","15075.70","14936.60","14953.10"
"NIFTY 500","14 Dec 2021","15005.50","15072.00","14947.95","15043.25"
"NIFTY 500","13 Dec 2021","15258.10","15280.00","15052.90","15064.25"
"NIFTY 500","10 Dec 2021","15103.65","15168.80","15069.80","15155.00"
"NIFTY 500","09 Dec 2021","15126.55","15141.00","15023.20","15126.60"
"NIFTY 500","08 Dec 2021","14945.30","15084.50","14941.30","15073.25"
"NIFTY 500","07 Dec 2021","14733.25","14881.75","14683.25","14834.50"
"NIFTY 500","06 Dec 2021","14876.25","14882.15","14599.35","14618.35"
"NIFTY 500","03 Dec 2021","15002.65","15054.95","14845.25","14856.30"
"NIFTY 500","02 Dec 2021","14808.80","14990.30","14786.65","14973.95"
"NIFTY 500","01 Dec 2021","14743.70","14822.50","14694.30","14784.70"
"NIFTY 500","30 Nov 2021","14662.05","14912.75","14608.60","14648.35"
"NIFTY 500","29 Nov 2021","14683.05","14749.50","14402.10","14656.45"
"NIFTY 500","26 Nov 2021","14990.85","15012.10","14674.75","14707.20"
"NIFTY 500","25 Nov 2021","15057.60","15166.65","14984.70","15150.60"
"NIFTY 500","24 Nov 2021","15159.95","15199.20","14997.30","15046.50"
"NIFTY 500","23 Nov 2021","14876.00","15137.15","14820.40","15107.80"
"NIFTY 500","22 Nov 2021","15333.90","15339.65","14846.70","14976.70"
"NIFTY 500","18 Nov 2021","15461.50","15502.60","15239.80","15302.55"
"NIFTY 500","17 Nov 2021","15487.15","15560.75","15436.95","15454.95"
"NIFTY 500","16 Nov 2021","15613.10","15626.65","15492.60","15525.40"
"NIFTY 500","15 Nov 2021","15625.75","15664.45","15558.05","15592.60"
"NIFTY 500","12 Nov 2021","15504.35","15591.45","15429.60","15579.00"
"NIFTY 500","11 Nov 2021","15497.25","15499.90","15351.20","15411.10"
"NIFTY 500","10 Nov 2021","15492.05","15562.45","15458.50","15521.10"
"NIFTY 500","09 Nov 2021","15542.05","15579.50","15487.70","15541.95"
"NIFTY 500","08 Nov 2021","15474.25","15535.05","15313.20","15520.15"
"NIFTY 500","04 Nov 2021","15380.95","15396.85","15363.35","15376.90"
"NIFTY 500","03 Nov 2021","15367.70","15397.30","15212.15","15282.75"
"NIFTY 500","02 Nov 2021","15344.35","15373.70","15278.70","15314.65"
"NIFTY 500","01 Nov 2021","15179.40","15318.15","15111.30","15302.70"
"NIFTY 500","29 Oct 2021","15163.50","15266.40","14961.50","15086.90"
"NIFTY 500","28 Oct 2021","15475.40","15475.45","15148.20","15190.85"
"NIFTY 500","27 Oct 2021","15541.75","15583.20","15454.10","15484.35"
"NIFTY 500","26 Oct 2021","15360.35","15528.90","15356.50","15499.65"
"NIFTY 500","25 Oct 2021","15492.00","15498.40","15181.60","15334.35"
"NIFTY 500","22 Oct 2021","15537.05","15600.45","15328.90","15399.70"
"NIFTY 500","21 Oct 2021","15666.60","15667.00","15373.45","15487.65"
"NIFTY 500","20 Oct 2021","15768.00","15776.35","15497.00","15568.65"
"NIFTY 500","19 Oct 2021","16003.95","16004.45","15716.70","15757.85"
"NIFTY 500","18 Oct 2021","15924.10","15949.20","15871.40","15886.15"
"NIFTY 500","14 Oct 2021","15733.30","15781.00","15710.10","15769.25"
"NIFTY 500","13 Oct 2021","15573.60","15660.20","15546.85","15631.40"
"NIFTY 500","12 Oct 2021","15426.60","15493.25","15371.80","15481.90"
"NIFTY 500","11 Oct 2021","15374.50","15497.80","15356.55","15428.00"
"NIFTY 500","08 Oct 2021","15375.30","15402.70","15317.40","15365.20"
"NIFTY 500","07 Oct 2021","15274.65","15335.95","15251.00","15290.15"
"NIFTY 500","06 Oct 2021","15328.95","15349.20","15109.10","15134.55"
"NIFTY 500","05 Oct 2021","15171.25","15287.70","15150.50","15280.10"
"NIFTY 500","04 Oct 2021","15094.40","15195.20","15075.25","15181.15"
"NIFTY 500","01 Oct 2021","14994.80","15031.55","14932.75","15013.95"
"NIFTY 500","30 Sep 2021","15109.70","15137.55","15026.95","15052.65"
"NIFTY 500","29 Sep 2021","15023.30","15141.05","14985.40","15086.95"
"NIFTY 500","28 Sep 2021","15235.10","15239.65","14967.05","15095.60"
"NIFTY 500","27 Sep 2021","15261.35","15262.65","15139.60","15189.05"
"NIFTY 500","24 Sep 2021","15274.10","15305.20","15160.45","15191.95"
"NIFTY 500","23 Sep 2021","15097.10","15219.35","15085.55","15205.45"
"NIFTY 500","22 Sep 2021","14977.30","15030.85","14950.35","14990.55"
"NIFTY 500","21 Sep 2021","14856.85","14959.45","14734.70","14946.30"
"NIFTY 500","20 Sep 2021","14907.50","15047.65","14800.85","14826.75"
"NIFTY 500","17 Sep 2021","15169.90","15207.70","14979.35","15027.25"
"NIFTY 500","16 Sep 2021","15050.85","15115.35","15012.25","15104.90"
"NIFTY 500","15 Sep 2021","14927.95","15028.65","14921.10","15020.55"
"NIFTY 500","14 Sep 2021","14917.05","14935.55","14881.55","14904.35"
"NIFTY 500","13 Sep 2021","14839.80","14865.75","14769.10","14852.20"
"NIFTY 500","09 Sep 2021","14780.60","14844.40","14774.15","14836.45"
"NIFTY 500","08 Sep 2021","14802.85","14825.10","14716.65","14803.60"
"NIFTY 500","07 Sep 2021","14834.95","14852.25","14713.55","14784.25"
"NIFTY 500","06 Sep 2021","14827.05","14843.40","14783.45","14805.85"
"NIFTY 500","03 Sep 2021","14724.70","14770.85","14682.20","14759.30"
"NIFTY 500","02 Sep 2021","14571.30","14692.00","14548.50","14684.35"
"NIFTY 500","01 Sep 2021","14611.65","14640.60","14527.05","14551.35"
"NIFTY 500","31 Aug 2021","14421.30","14571.80","14393.50","14555.90"
"NIFTY 500","30 Aug 2021","14257.40","14411.95","14250.55","14397.90"
"NIFTY 500","27 Aug 2021","14126.30","14203.95","14064.10","14192.50"
"NIFTY 500","26 Aug 2021","14106.45","14147.05","14074.90","14106.95"
"NIFTY 500","25 Aug 2021","14103.10","14145.45","14070.55","14093.60"
"NIFTY 500","24 Aug 2021","13986.95","14075.90","13942.50","14063.25"
"NIFTY 500","23 Aug 2021","14063.35","14063.50","13841.00","13930.55"
"NIFTY 500","20 Aug 2021","13951.50","14047.90","13910.20","13943.95"
"NIFTY 500","18 Aug 2021","14171.05","14186.50","14072.00","14095.55"
"NIFTY 500","17 Aug 2021","14063.90","14123.60","14010.90","14113.10"
"NIFTY 500","16 Aug 2021","14063.75","14087.40","14016.75","14070.80"
"NIFTY 500","13 Aug 2021","13997.75","14079.65","13991.70","14065.30"
"NIFTY 500","12 Aug 2021","13901.10","13979.85","13884.05","13971.95"
"NIFTY 500","11 Aug 2021","13924.05","13938.60","13716.70","13876.55"
"NIFTY 500","10 Aug 2021","13957.60","13996.85","13809.45","13892.75"
"NIFTY 500","09 Aug 2021","13993.60","14007.55","13870.25","13935.05"
"NIFTY 500","06 Aug 2021","13996.60","14029.80","13946.05","13954.65"
"NIFTY 500","05 Aug 2021","14000.90","14003.10","13891.70","13981.55"
