"Index Name","Date","Open","High","Low","Close"
"NIFTY INFRASTRUCTURE","31 Dec 2021","4917.15","4968.25","4913.30","4949.90"
"NIFTY INFRASTRUCTURE","30 Dec 2021","4929.80","4939.05","4897.05","4904.90"
"NIFTY INFRASTRUCTURE","29 Dec 2021","4936.05","4955.05","4921.70","4933.30"
"NIFTY INFRASTRUCTURE","28 Dec 2021","4904.85","4946.85","4904.20","4942.35"
"NIFTY INFRASTRUCTURE","27 Dec 2021","4865.60","4892.70","4836.10","4883.15"
"NIFTY INFRASTRUCTURE","24 Dec 2021","4943.30","4944.25","4856.30","4880.65"
"NIFTY INFRASTRUCTURE","23 Dec 2021","4918.60","4935.15","4905.40","4925.05"
"NIFTY INFRASTRUCTURE","22 Dec 2021","4832.75","4894.70","4831.25","4888.45"
"NIFTY INFRASTRUCTURE","21 Dec 2021","4801.65","4857.90","4782.60","4822.95"
"NIFTY INFRASTRUCTURE","20 Dec 2021","4842.10","4844.95","4692.70","4754.15"
"NIFTY INFRASTRUCTURE","17 Dec 2021","4997.00","5002.10","4883.65","4891.35"
"NIFTY INFRASTRUCTURE","16 Dec 2021","5039.80","5039.80","4984.00","5005.50"
"NIFTY INFRASTRUCTURE","15 Dec 2021","5032.25","5045.80","4991.45","5000.20"
"NIFTY INFRASTRUCTURE","14 Dec 2021","5009.80","5047.00","4999.80","5030.50"
"NIFTY INFRASTRUCTURE","13 Dec 2021","5124.20","5131.05","5035.85","5039.35"
"NIFTY INFRASTRUCTURE","10 Dec 2021","5059.05","5090.30","5053.80","5083.40"
"NIFTY INFRASTRUCTURE","09 Dec 2021","5057.10","5079.60","5028.15","5070.20"
"NIFTY INFRASTRUCTURE","08 Dec 2021","4998.65","5039.40","4996.40","5031.65"
"NIFTY INFRASTRUCTURE","07 Dec 2021","4935.90","4983.15","4919.70","4960.70"
"NIFTY INFRASTRUCTURE","06 Dec 2021","5004.50","5009.20","4895.00","4903.90"
"NIFTY INFRASTRUCTURE","03 Dec 2021","5061.75","5080.30","4992.55","4997.10"
"NIFTY INFRASTRUCTURE","02 Dec 2021","5002.20","5055.15","4992.50","5048.70"
"NIFTY INFRASTRUCTURE","01 Dec 2021","4996.75","5017.40","4957.70","4993.00"
"NIFTY INFRASTRUCTURE","30 Nov 2021","4996.95","5054.70","4936.85","4959.35"
"NIFTY INFRASTRUCTURE","29 Nov 2021","5009.15","5031.90","4915.10","4979.10"
"NIFTY INFRASTRUCTURE","26 Nov 2021","5150.60","5153.05","4988.70","5003.00"
"NIFTY INFRASTRUCTURE","25 Nov 2021","5136.20","5210.90","5111.55","5200.10"
"NIFTY INFRASTRUCTURE","24 Nov 2021","5169.40","5204.20","5115.50","5134.05"
"NIFTY INFRASTRUCTURE","23 Nov 2021","5047.65","5157.30","5031.20","5146.55"
"NIFTY INFRASTRUCTURE","22 Nov 2021","5185.10","5189.65","5026.90","5075.05"
"NIFTY INFRASTRUCTURE","18 Nov 2021","5247.40","5259.15","5161.65","5177.15"
"NIFTY INFRASTRUCTURE","17 Nov 2021","5252.00","5294.00","5238.50","5245.60"
"NIFTY INFRASTRUCTURE","16 Nov 2021","5345.70","5350.35","5255.15","5273.80"
"NIFTY INFRASTRUCTURE","15 Nov 2021","5337.15","5362.80","5314.45","5334.00"
"NIFTY INFRASTRUCTURE","12 Nov 2021","5295.35","5330.80","5269.35","5323.05"
"NIFTY INFRASTRUCTURE","11 Nov 2021","5299.95","5319.10","5243.95","5265.40"
"NIFTY INFRASTRUCTURE","10 Nov 2021","5280.30","5320.60","5267.10","5312.45"
"NIFTY INFRASTRUCTURE","09 Nov 2021","5282.60","5299.15","5267.45","5289.90"
"NIFTY INFRASTRUCTURE","08 Nov 2021","5232.00","5270.50","5190.00","5265.80"
"NIFTY INFRASTRUCTURE","04 Nov 2021","5185.50","5196.15","5180.40","5186.00"
"NIFTY INFRASTRUCTURE","03 Nov 2021","5143.00","5183.25","5129.70","5157.70"
"NIFTY INFRASTRUCTURE","02 Nov 2021","5151.90","5170.95","5115.90","5123.90"
"NIFTY INFRASTRUCTURE","01 Nov 2021","5076.60","5141.80","5061.85","5135.75"
"NIFTY INFRASTRUCTURE","29 Oct 2021","5076.25","5113.65","4987.15","5045.10"
"NIFTY INFRASTRUCTURE","28 Oct 2021","5140.30","5160.75","5065.75","5082.20"
"NIFTY INFRASTRUCTURE","27 Oct 2021","5177.75","5199.15","5133.00","5145.75"
"NIFTY INFRASTRUCTURE","26 Oct 2021","5117.85","5177.75","5116.65","5169.30"
"NIFTY INFRASTRUCTURE","25 Oct 2021","5168.00","5177.45","5044.40","5098.85"
"NIFTY INFRASTRUCTURE","22 Oct 2021","5178.75","5195.65","5117.90","5141.15"
"NIFTY INFRASTRUCTURE","21 Oct 2021","5244.50","5244.55","5135.55","5159.95"
"NIFTY INFRASTRUCTURE","20 Oct 2021","5257.00","5286.45","5171.70","5201.35"
"NIFTY INFRASTRUCTURE","19 Oct 2021","5345.75","5345.95","5233.75","5248.75"
"NIFTY INFRASTRUCTURE","18 Oct 2021","5319.90","5337.50","5289.75","5296.05"
"NIFTY INFRASTRUCTURE","14 Oct 2021","5250.50","5290.80","5239.45","5269.85"
"NIFTY INFRASTRUCTURE","13 Oct 2021","5180.05","5240.60","5168.55","5215.05"
"NIFTY INFRASTRUCTURE","12 Oct 2021","5147.55","5166.75","5111.30","5150.00"
"NIFTY INFRASTRUCTURE","11 Oct 2021","5152.80","5183.00","5143.10","5147.20"
"NIFTY INFRASTRUCTURE","08 Oct 2021","5124.30","5133.40","5087.80","5122.85"
"NIFTY INFRASTRUCTURE","07 Oct 2021","5110.15","5119.95","5084.30","5087.70"
"NIFTY INFRASTRUCTURE","06 Oct 2021","5147.70","5160.45","5047.10","5060.45"
"NIFTY INFRASTRUCTURE","05 Oct 2021","5073.30","5130.75","5067.90","5125.30"
"NIFTY INFRASTRUCTURE","04 Oct 2021","5045.65","5083.10","5031.35","5068.95"
"NIFTY INFRASTRUCTURE","01 Oct 2021","5014.45","5039.20","4992.70","5023.00"
"NIFTY INFRASTRUCTURE","30 Sep 2021","5053.00","5060.60","5010.40","5025.35"
"NIFTY INFRASTRUCTURE","29 Sep 2021","5022.50","5059.55","5001.45","5043.90"
"NIFTY INFRASTRUCTURE","28 Sep 2021","5038.35","5083.80","4991.90","5024.50"
"NIFTY INFRASTRUCTURE","27 Sep 2021","5022.15","5029.20","4991.55","5021.60"
"NIFTY INFRASTRUCTURE","24 Sep 2021","5043.20","5049.75","4987.70","4998.65"
"NIFTY INFRASTRUCTURE","23 Sep 2021","4966.60","5024.90","4964.45","5020.20"
"NIFTY INFRASTRUCTURE","22 Sep 2021","4916.75","4953.70","4913.00","4936.65"
"NIFTY INFRASTRUCTURE","21 Sep 2021","4876.05","4914.25","4863.55","4909.85"
"NIFTY INFRASTRUCTURE","20 Sep 2021","4891.85","4942.55","4859.40","4876.45"
"NIFTY INFRASTRUCTURE","17 Sep 2021","4973.45","4989.30","4916.80","4931.15"
"NIFTY INFRASTRUCTURE","16 Sep 2021","4951.40","4962.00","4929.35","4954.30"
"NIFTY INFRASTRUCTURE","15 Sep 2021","4871.80","4941.85","4871.50","4931.70"
"NIFTY INFRASTRUCTURE","14 Sep 2021","4854.75","4871.95","4850.05","4862.00"
"NIFTY INFRASTRUCTURE","13 Sep 2021","4861.90","4861.90","4818.50","4842.60"
"NIFTY INFRASTRUCTURE","09 Sep 2021","4820.85","4856.35","4819.70","4852.10"
